network,country,signal,metric_value,secondary_value,baseline,threshold,sample_size,is_alert,severity,action
303,ALL,Повторна атрибуція,0.026,0.02,0.01,0.05,174637.0,False,green,дії щодо фроду не потрібні
413,ALL,ROAS · 60+ днів після реєстрації,5.6,,5.96,1.0,2731467.0,False,green,стандартний контроль
413,ALL,Chargeback за сумою · 60+ днів після платежу,0.0036,,0.0041,0.02,184394.0,False,green,стандартний контроль
413,ALL,Повторна атрибуція,0.082,0.082,0.01,0.05,184394.0,True,orange,стандартний контроль
427,ALL,ROAS · 60+ днів після реєстрації,6.55,,5.96,1.0,3322418.0,False,green,стандартний контроль
427,ALL,Chargeback за сумою · 60+ днів після платежу,0.0047,,0.0041,0.02,232251.0,False,green,стандартний контроль
427,ALL,Повторна атрибуція,0.073,0.072,0.01,0.05,232251.0,True,orange,стандартний контроль
730,ALL,ROAS · 60+ днів після реєстрації,4.09,,5.96,1.0,1442696.0,False,green,стандартний контроль
730,ALL,Chargeback за сумою · 60+ днів після платежу,0.0039,,0.0041,0.02,137252.0,False,green,стандартний контроль
730,ALL,Повторна атрибуція,0.048,0.039,0.01,0.05,137252.0,False,green,стандартний контроль
897,ALL,ROAS · 60+ днів після реєстрації,6.9,,5.96,1.0,1258427.0,False,green,стандартний контроль
897,ALL,Chargeback за сумою · 60+ днів після платежу,0.0044,,0.0041,0.02,153366.0,False,green,стандартний контроль
897,ALL,Повторна атрибуція,0.015,0.015,0.01,0.05,153366.0,False,green,стандартний контроль
1002,ALL,ROAS · 60+ днів після реєстрації,6.28,,5.96,1.0,2461660.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
1002,ALL,Chargeback за сумою · 60+ днів після платежу,0.0037,,0.0041,0.02,108535.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
1002,ALL,Повторна атрибуція,0.021,0.027,0.01,0.05,108535.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
833,ALL,ROAS · 60+ днів після реєстрації,4.45,,5.96,1.0,2912719.0,False,green,зібрати другий сигнал; залишити на контролі
833,ALL,Chargeback за сумою · 60+ днів після платежу,0.0039,,0.0041,0.02,1114202.0,False,green,зібрати другий сигнал; залишити на контролі
833,ALL,Повторна атрибуція,0.021,0.019,0.01,0.05,1114202.0,False,green,зібрати другий сигнал; залишити на контролі
851,ALL,ROAS · 60+ днів після реєстрації,4.49,,5.96,1.0,94133.0,False,green,контроль у розрізі країни та місяця
851,ALL,Chargeback за сумою · 60+ днів після платежу,0.007,,0.0041,0.02,219451.0,False,green,контроль у розрізі країни та місяця
851,ALL,Повторна атрибуція,0.013,0.015,0.01,0.05,219451.0,False,green,контроль у розрізі країни та місяця
889,ALL,ROAS · 60+ днів після реєстрації,9.69,,5.96,1.0,291124.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
889,ALL,Chargeback за сумою · 60+ днів після платежу,0.0018,,0.0041,0.02,62118.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
889,ALL,Повторна атрибуція,0.065,0.067,0.01,0.05,62118.0,True,orange,контроль виплат після 60+ днів від реєстрації / LTV
523,ALL,D7 + відсутність сесій,0.225,1.372,1.0,0.6,51.0,True,orange,не масштабувати; перевірити джерела; знизити ставку
911,ALL,D7 + відсутність сесій,0.169,1.356,1.0,0.6,9.0,True,orange,не масштабувати; додати умови якості
851,ALL,D7 + відсутність сесій,0.248,1.299,1.0,0.6,31.0,False,green,контроль у розрізі країни та місяця
833,ALL,D7 + відсутність сесій,0.524,1.156,1.0,0.6,30.0,False,green,зібрати другий сигнал; залишити на контролі
612,ALL,D7 + відсутність сесій,0.739,1.122,1.0,0.6,22.0,False,green,припинити співпрацю; переглянути невиплачені конверсії
1052,ALL,D7 + відсутність сесій,0.685,0.768,1.0,0.6,17.0,False,green,затримка виплат 60 днів; резерв; перегляд ставки
897,ALL,D7 + відсутність сесій,0.786,0.914,1.0,0.6,27.0,False,green,стандартний контроль
1002,ALL,D7 + відсутність сесій,0.796,0.523,1.0,0.6,26.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
303,ALL,D7 + відсутність сесій,0.867,0.929,1.0,0.6,25.0,False,green,дії щодо фроду не потрібні
413,ALL,D7 + відсутність сесій,0.9,1.006,1.0,0.6,21.0,False,green,стандартний контроль
427,ALL,D7 + відсутність сесій,0.91,0.989,1.0,0.6,19.0,False,green,стандартний контроль
730,ALL,D7 + відсутність сесій,0.93,0.979,1.0,0.6,23.0,False,green,стандартний контроль
719,ALL,D7 + відсутність сесій,0.995,1.017,1.0,0.6,18.0,False,green,перевірити attribution window і повторні id_metauser
889,ALL,D7 + відсутність сесій,1.062,0.844,1.0,0.6,19.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
833,AU,Стійко слабкий нічний спад,0.75,1.652459277087511,0.0,0.5,28.0,True,orange,зібрати другий сигнал; залишити на контролі
427,AU,Стійко слабкий нічний спад,0.7142857142857143,1.5013632119514468,0.0,0.5,7.0,True,orange,стандартний контроль
523,BR,Стійко слабкий нічний спад,0.5833333333333334,1.4804035340238648,0.0,0.5,24.0,True,orange,не масштабувати; перевірити джерела; знизити ставку
523,GB,Стійко слабкий нічний спад,0.896551724137931,1.4460052025269419,0.0,0.5,29.0,True,orange,не масштабувати; перевірити джерела; знизити ставку
523,US,Стійко слабкий нічний спад,0.5333333333333333,1.3074981592142851,0.0,0.5,30.0,True,orange,не масштабувати; перевірити джерела; знизити ставку
413,AU,Стійко слабкий нічний спад,0.3333333333333333,1.240290052454195,0.0,0.5,6.0,False,green,стандартний контроль
833,US,Стійко слабкий нічний спад,0.8666666666666667,1.4316054854863087,0.0,0.5,30.0,True,orange,зібрати другий сигнал; залишити на контролі
911,BR,Стійко слабкий нічний спад,0.7058823529411765,1.5335581074091604,0.0,0.5,17.0,True,orange,не масштабувати; додати умови якості
719,GB,Стійко слабкий нічний спад,0.7,1.5367833444729995,0.0,0.5,10.0,True,orange,перевірити attribution window і повторні id_metauser
851,US,Стійко слабкий нічний спад,0.1,1.0909131287188325,0.0,0.5,10.0,False,green,контроль у розрізі країни та місяця
612,US,Стійко слабкий нічний спад,0.1,1.1003040633131511,0.0,0.5,20.0,False,green,припинити співпрацю; переглянути невиплачені конверсії
833,CA,Стійко слабкий нічний спад,0.10344827586206896,1.0069957573165398,0.0,0.5,29.0,False,green,зібрати другий сигнал; залишити на контролі
911,US,Стійко слабкий нічний спад,0.14285714285714285,0.8117489973330336,0.0,0.5,14.0,False,green,не масштабувати; додати умови якості
911,MX,Стійко слабкий нічний спад,0.3333333333333333,1.0881603855533073,0.0,0.5,6.0,False,green,не масштабувати; додати умови якості
719,US,Стійко слабкий нічний спад,0.03333333333333333,0.9565404547752747,0.0,0.5,30.0,False,green,перевірити attribution window і повторні id_metauser
523,CA,Стійко слабкий нічний спад,0.18181818181818182,0.5856371243818944,0.0,0.5,11.0,False,green,не масштабувати; перевірити джерела; знизити ставку
851,CL,Стійко слабкий нічний спад,0.4,1.2925198849213066,0.0,0.5,5.0,False,green,контроль у розрізі країни та місяця
1002,US,Стійко слабкий нічний спад,0.034482758620689655,0.9466441848256469,0.0,0.5,29.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
303,BR,Стійко слабкий нічний спад,0.0,0.8963936269852159,0.0,0.5,9.0,False,green,дії щодо фроду не потрібні
889,IT,Стійко слабкий нічний спад,0.0,0.9992949802594473,0.0,0.5,11.0,False,green,контроль виплат після 60+ днів від реєстрації / LTV
427,GB,Стійко слабкий нічний спад,0.0,0.9156178489702519,0.0,0.5,7.0,False,green,стандартний контроль
833,GB,Стійко слабкий нічний спад,0.0,0.7212818287037037,0.0,0.5,29.0,False,green,зібрати другий сигнал; залишити на контролі
413,US,Стійко слабкий нічний спад,0.0,0.8807100621936806,0.0,0.5,22.0,False,green,стандартний контроль
730,US,Стійко слабкий нічний спад,0.0,0.8773497473201953,0.0,0.5,13.0,False,green,стандартний контроль
851,MX,Стійко слабкий нічний спад,0.0,0.6848852615003851,0.0,0.5,8.0,False,green,контроль у розрізі країни та місяця
427,US,Стійко слабкий нічний спад,0.0,0.796065170327332,0.0,0.5,29.0,False,green,стандартний контроль
1052,US,Стійко слабкий нічний спад,0.0,0.7332995951417004,0.0,0.5,25.0,False,green,затримка виплат 60 днів; резерв; перегляд ставки
427,CA,Стійко слабкий нічний спад,0.0,0.7850843486090189,0.0,0.5,6.0,False,green,стандартний контроль
523,IT,Стійко слабкий нічний спад,0.0,0.4642179335502317,0.0,0.5,6.0,False,green,не масштабувати; перевірити джерела; знизити ставку
413,GB,Стійко слабкий нічний спад,0.0,0.83205453966984,0.0,0.5,4.0,False,green,стандартний контроль
897,US,Стійко слабкий нічний спад,0.0,0.43498384049913846,0.0,0.5,28.0,False,green,стандартний контроль
730,BR,Стійко слабкий нічний спад,0.0,0.5367447649359209,0.0,0.5,7.0,False,green,стандартний контроль
851,FR,Стійко слабкий нічний спад,0.0,0.6238113714784586,0.0,0.5,4.0,False,green,контроль у розрізі країни та місяця
303,FR,Стійко слабкий нічний спад,0.0,0.4737264426673825,0.0,0.5,4.0,False,green,дії щодо фроду не потрібні
