network,cohort_month,registrations,costed_registrations,spend,spend_prior_clean,prior_clean_share,prior_clean_share_costed,spend_share_prior_clean,cr_prior_clean,cr_other
730,2026-05-01,12284,9307,105606.88,9599.28,0.072,0.077,0.0909,0.0441,0.0315
833,2026-05-01,161139,53094,380431.19,7839.19,0.0367,0.0223,0.0206,0.0242,0.0109
851,2026-05-01,7105,2221,5452.25,109.89,0.0165,0.0189,0.0202,0.0171,0.0089
889,2026-05-01,11243,211,65643.92,4992.04,0.0721,0.0758,0.076,0.0382,0.0237
897,2026-05-01,13837,8820,109829.03,2316.13,0.036,0.022,0.0211,0.0703,0.0371
911,2026-05-01,62705,10880,12380.35,229.33,0.0149,0.0187,0.0185,0.0054,0.0015
organic,2026-05-01,183415,0,0.0,0.0,0.074,,,0.0382,0.0243
ppc,2026-05-01,547764,544740,3658425.79,61533.1,0.0117,0.0117,0.0168,0.057,0.0272
1002,2026-06-01,14060,1163,401352.35,12065.7,0.0536,0.0232,0.0301,0.0784,0.0714
1052,2026-06-01,18052,1327,491690.78,18696.1,0.0577,0.0219,0.038,0.0605,0.0432
303,2026-06-01,8497,5149,23609.51,732.82,0.0521,0.0311,0.031,0.0361,0.0129
413,2026-06-01,59874,46202,888327.45,81694.52,0.0854,0.0931,0.092,0.0622,0.0439
427,2026-06-01,59894,47494,817465.64,67568.36,0.0751,0.0814,0.0827,0.0645,0.0446
523,2026-06-01,115191,39856,75843.86,1725.64,0.0239,0.0199,0.0228,0.0109,0.0057
612,2026-06-01,6685,143,68270.18,7374.1,0.1267,0.0979,0.108,0.0319,0.0281
719,2026-06-01,13841,10673,248354.43,47438.83,0.1757,0.1884,0.191,0.0637,0.0386
730,2026-06-01,27783,20845,68375.96,4775.07,0.0592,0.0645,0.0698,0.0219,0.0157
833,2026-06-01,168497,54846,455380.83,10791.42,0.0449,0.0272,0.0237,0.0193,0.0107
851,2026-06-01,4688,1347,3740.77,89.54,0.0192,0.0223,0.0239,0.0111,0.0083
889,2026-06-01,13916,264,84485.8,6526.8,0.0697,0.0795,0.0773,0.0392,0.0253
897,2026-06-01,25168,15279,240691.59,5663.6,0.0426,0.0243,0.0235,0.0458,0.0384
911,2026-06-01,33723,6541,8015.38,190.55,0.0225,0.0229,0.0238,0.0,0.0021
organic,2026-06-01,162128,0,0.0,0.0,0.0555,,,0.0383,0.0218
ppc,2026-06-01,536019,534483,3105883.27,59157.75,0.0121,0.0121,0.019,0.0426,0.0197
1002,2026-07-01,11069,571,300467.53,8085.98,0.0563,0.0228,0.0269,0.0754,0.0779
1052,2026-07-01,15203,420,276171.7,7881.0,0.0675,0.0286,0.0285,0.0458,0.0361
303,2026-07-01,11018,7212,39517.6,1021.87,0.0338,0.0266,0.0259,0.0161,0.0123
413,2026-07-01,33077,24873,467819.12,41997.96,0.083,0.0897,0.0898,0.0605,0.0373
427,2026-07-01,34319,26213,482329.04,42528.54,0.0809,0.0876,0.0882,0.0609,0.041
523,2026-07-01,79347,25879,76004.88,1505.23,0.0245,0.0184,0.0198,0.0082,0.0045
612,2026-07-01,4973,120,53593.76,3514.26,0.1048,0.0667,0.0656,0.023,0.0317
719,2026-07-01,11641,8220,180706.5,38595.6,0.1872,0.2105,0.2136,0.0459,0.0289
730,2026-07-01,9482,6744,76965.18,7832.9,0.085,0.0962,0.1018,0.0496,0.03
833,2026-07-01,104692,31466,223524.25,8229.17,0.0526,0.0421,0.0368,0.0182,0.0103
851,2026-07-01,1796,419,1152.18,36.26,0.0178,0.031,0.0315,0.0,0.0062
889,2026-07-01,10773,144,42885.96,2557.44,0.0566,0.0694,0.0596,0.0361,0.0169
897,2026-07-01,23819,14377,243567.52,4783.73,0.0323,0.0202,0.0196,0.0247,0.0362
911,2026-07-01,3663,736,1321.34,16.8,0.0229,0.0177,0.0127,0.0,0.0011
organic,2026-07-01,128732,0,0.0,0.0,0.0588,,,0.0287,0.0161
ppc,2026-07-01,382194,373167,2334625.11,45148.41,0.0137,0.0137,0.0193,0.0403,0.0184
