network,cohort_month,registrations,costed_registrations,spend,cohort_60dplus_registrations,cohort_60dplus_spend,payers,gross_revenue,chargeback_amount,net_revenue,roas,cohort_60dplus_gross_revenue,cohort_60dplus_chargeback_amount,cohort_60dplus_net_revenue,roas_cohort_60dplus
851,2026-02-01,42209,9471,16590.73,42209,16590.73,181,78425.0,90.0,78335.0,4.722,78425.0,90.0,78335.0,4.722
889,2026-02-01,7455,123,25377.56,7455,25377.56,164,484000.0,925.0,483075.0,19.036,484000.0,925.0,483075.0,19.036
897,2026-02-01,22414,13977,174036.79,22414,174036.79,1026,1617110.0,9425.0,1607685.0,9.238,1617110.0,9425.0,1607685.0,9.238
911,2026-02-01,9682,3154,26448.56,9682,26448.56,173,404770.0,4560.0,400210.0,15.132,404770.0,4560.0,400210.0,15.132
organic,2026-02-01,147977,0,0.0,147977,0.0,3812,7823585.0,34795.0,7788790.0,,7823585.0,34795.0,7788790.0,
ppc,2026-02-01,320772,319846,2634830.89,320772,2634830.89,9952,16259480.0,68130.0,16191350.0,6.145,16259480.0,68130.0,16191350.0,6.145
1002,2026-03-01,17646,710,329305.92,17646,329305.92,1166,2311305.0,10525.0,2300780.0,6.987,2311305.0,10525.0,2300780.0,6.987
1052,2026-03-01,20931,2999,403751.77,20931,403751.77,705,3198340.0,1471495.0,1726845.0,4.277,3198340.0,1471495.0,1726845.0,4.277
303,2026-03-01,64471,44215,110349.18,64471,110349.18,838,325295.0,990.0,324305.0,2.939,325295.0,990.0,324305.0,2.939
413,2026-03-01,18980,14894,265951.26,18980,265951.26,1035,2435825.0,8910.0,2426915.0,9.125,2435825.0,8910.0,2426915.0,9.125
427,2026-03-01,27367,21510,389475.32,27367,389475.32,1480,3203740.0,17365.0,3186375.0,8.181,3203740.0,17365.0,3186375.0,8.181
523,2026-03-01,159449,60670,191951.63,159449,191951.63,1263,948310.0,7740.0,940570.0,4.9,948310.0,7740.0,940570.0,4.9
612,2026-03-01,17370,337,148589.78,17370,148589.78,495,69735.0,17495.0,52240.0,0.352,69735.0,17495.0,52240.0,0.352
719,2026-03-01,20082,14136,203330.54,20082,203330.54,643,1395170.0,1310.0,1393860.0,6.855,1395170.0,1310.0,1393860.0,6.855
730,2026-03-01,19594,14071,307861.09,19594,307861.09,966,781410.0,2040.0,779370.0,2.532,781410.0,2040.0,779370.0,2.532
833,2026-03-01,198658,76477,609139.14,198658,609139.14,2444,2101280.0,7500.0,2093780.0,3.437,2101280.0,7500.0,2093780.0,3.437
851,2026-03-01,112141,27095,41257.07,112141,41257.07,374,202790.0,1180.0,201610.0,4.887,202790.0,1180.0,201610.0,4.887
889,2026-03-01,9293,153,33569.36,9293,33569.36,203,90775.0,150.0,90625.0,2.7,90775.0,150.0,90625.0,2.7
897,2026-03-01,17039,10756,136333.62,17039,136333.62,657,823245.0,2490.0,820755.0,6.02,823245.0,2490.0,820755.0,6.02
911,2026-03-01,63511,12422,55998.91,63511,55998.91,327,445100.0,1010.0,444090.0,7.93,445100.0,1010.0,444090.0,7.93
organic,2026-03-01,177362,0,0.0,177362,0.0,4328,8088555.0,38510.0,8050045.0,,8088555.0,38510.0,8050045.0,
ppc,2026-03-01,463697,462492,3209081.1,463697,3209081.1,13094,19001600.0,80800.0,18920800.0,5.896,19001600.0,80800.0,18920800.0,5.896
1002,2026-04-01,15365,1803,360645.66,15365,360645.66,865,2415320.0,8630.0,2406690.0,6.673,2415320.0,8630.0,2406690.0,6.673
1052,2026-04-01,16723,1186,235009.2,16723,235009.2,638,1838925.0,7035.0,1831890.0,7.795,1838925.0,7035.0,1831890.0,7.795
303,2026-04-01,48343,33118,41636.7,48343,41636.7,474,121905.0,845.0,121060.0,2.908,121905.0,845.0,121060.0,2.908
413,2026-04-01,28383,22320,390989.58,28383,390989.58,1364,1843875.0,10335.0,1833540.0,4.689,1843875.0,10335.0,1833540.0,4.689
427,2026-04-01,36231,28951,575713.97,36231,575713.97,1870,3754645.0,16125.0,3738520.0,6.494,3754645.0,16125.0,3738520.0,6.494
523,2026-04-01,162877,60243,140237.44,162877,140237.44,899,698065.0,1115.0,696950.0,4.97,698065.0,1115.0,696950.0,4.97
612,2026-04-01,11770,246,127462.78,11770,127462.78,353,62335.0,11345.0,50990.0,0.4,62335.0,11345.0,50990.0,0.4
719,2026-04-01,18336,13947,240756.41,18336,240756.41,741,1005960.0,5405.0,1000555.0,4.156,1005960.0,5405.0,1000555.0,4.156
730,2026-04-01,12943,10281,69424.58,12943,69424.58,451,266575.0,1700.0,264875.0,3.815,266575.0,1700.0,264875.0,3.815
833,2026-04-01,187180,68090,508212.02,187180,508212.02,2136,1941825.0,8715.0,1933110.0,3.804,1941825.0,8715.0,1933110.0,3.804
851,2026-04-01,34029,9333,20056.33,34029,20056.33,163,38905.0,0.0,38905.0,1.94,38905.0,0.0,38905.0,1.94
889,2026-04-01,8317,128,32576.28,8317,32576.28,172,670935.0,2370.0,668565.0,20.523,670935.0,2370.0,668565.0,20.523
897,2026-04-01,11518,7679,80554.0,11518,80554.0,387,283715.0,410.0,283305.0,3.517,283715.0,410.0,283305.0,3.517
911,2026-04-01,83458,15330,22278.22,83458,22278.22,155,96100.0,4430.0,91670.0,4.115,96100.0,4430.0,91670.0,4.115
organic,2026-04-01,179023,0,0.0,179023,0.0,4610,8182685.0,41315.0,8141370.0,,8182685.0,41315.0,8141370.0,
ppc,2026-04-01,466615,464050,3133803.87,466615,3133803.87,12788,17044820.0,73025.0,16971795.0,5.416,17044820.0,73025.0,16971795.0,5.416
1002,2026-05-01,12481,566,321129.66,9317,235732.18,908,1103755.0,9700.0,1094055.0,3.407,891830.0,8360.0,883470.0,3.748
1052,2026-05-01,12455,1523,354198.78,8117,225929.4,522,1181185.0,5645.0,1175540.0,3.319,754425.0,2760.0,751665.0,3.327
303,2026-05-01,11518,7616,8769.41,11272,8444.21,84,16500.0,45.0,16455.0,1.876,16335.0,45.0,16290.0,1.929
413,2026-05-01,39889,31538,676876.52,27289,456958.88,2212,2597090.0,7175.0,2589915.0,3.826,1992945.0,5540.0,1987405.0,4.349
427,2026-05-01,44833,35537,726315.55,34528,557206.31,2438,3359940.0,14825.0,3345115.0,4.606,2660330.0,12270.0,2648060.0,4.752
523,2026-05-01,125524,44207,103513.38,92888,84226.84,764,299485.0,290.0,299195.0,2.89,225535.0,290.0,225245.0,2.674
612,2026-05-01,8982,226,109937.36,7462,85968.76,274,192965.0,6235.0,186730.0,1.699,155100.0,5355.0,149745.0,1.742
719,2026-05-01,16695,12800,262623.03,11716,178043.99,775,1372485.0,6055.0,1366430.0,5.203,1128410.0,5630.0,1122780.0,6.306
730,2026-05-01,12284,9307,105606.88,10924,90159.38,398,251075.0,1275.0,249800.0,2.365,217325.0,1210.0,216115.0,2.397
833,2026-05-01,161139,53094,380431.19,122362,296292.82,1831,2065705.0,8270.0,2057435.0,5.408,1835060.0,6590.0,1828470.0,6.171
851,2026-05-01,7105,2221,5452.25,4869,4287.49,64,12335.0,65.0,12270.0,2.25,8700.0,65.0,8635.0,2.014
889,2026-05-01,11243,211,65643.92,8259,49224.8,278,195535.0,440.0,195095.0,2.972,173785.0,315.0,173470.0,3.524
897,2026-05-01,13837,8820,109829.03,9209,76353.65,530,488970.0,1370.0,487600.0,4.44,310295.0,1230.0,309065.0,4.048
911,2026-05-01,62705,10880,12380.35,62472,12115.87,97,16010.0,0.0,16010.0,1.293,16010.0,0.0,16010.0,1.321
organic,2026-05-01,183415,0,0.0,140474,0.0,4643,6864530.0,28845.0,6835685.0,,5442475.0,25800.0,5416675.0,
ppc,2026-05-01,547764,544740,3658425.79,401200,2724288.55,15082,16958680.0,75580.0,16883100.0,4.615,12892470.0,55315.0,12837155.0,4.712
1002,2026-06-01,14060,1163,401352.35,0,0.0,1009,1151050.0,1475.0,1149575.0,2.864,0.0,0.0,0.0,
1052,2026-06-01,18052,1327,491690.78,0,0.0,798,1396565.0,3940.0,1392625.0,2.832,0.0,0.0,0.0,
303,2026-06-01,8497,5149,23609.51,0,0.0,120,24665.0,45.0,24620.0,1.043,0.0,0.0,0.0,
413,2026-06-01,59874,46202,888327.45,0,0.0,2722,2992465.0,9645.0,2982820.0,3.358,0.0,0.0,0.0,
427,2026-06-01,59894,47494,817465.64,0,0.0,2759,2249185.0,13710.0,2235475.0,2.735,0.0,0.0,0.0,
523,2026-06-01,115191,39856,75843.86,0,0.0,676,272995.0,1380.0,271615.0,3.581,0.0,0.0,0.0,
612,2026-06-01,6685,143,68270.18,0,0.0,191,59425.0,7995.0,51430.0,0.753,0.0,0.0,0.0,
719,2026-06-01,13841,10673,248354.43,0,0.0,595,899420.0,3655.0,895765.0,3.607,0.0,0.0,0.0,
730,2026-06-01,27783,20845,68375.96,0,0.0,446,174860.0,1755.0,173105.0,2.532,0.0,0.0,0.0,
833,2026-06-01,168497,54846,455380.83,0,0.0,1865,1477585.0,9675.0,1467910.0,3.223,0.0,0.0,0.0,
851,2026-06-01,4688,1347,3740.77,0,0.0,39,6645.0,0.0,6645.0,1.776,0.0,0.0,0.0,
889,2026-06-01,13916,264,84485.8,0,0.0,365,183595.0,615.0,182980.0,2.166,0.0,0.0,0.0,
897,2026-06-01,25168,15279,240691.59,0,0.0,974,822110.0,2310.0,819800.0,3.406,0.0,0.0,0.0,
911,2026-06-01,33723,6541,8015.38,0,0.0,70,28970.0,130.0,28840.0,3.598,0.0,0.0,0.0,
organic,2026-06-01,162128,0,0.0,0,0.0,3681,4954590.0,21290.0,4933300.0,,0.0,0.0,0.0,
ppc,2026-06-01,536019,534483,3105883.27,0,0.0,10724,10204820.0,46720.0,10158100.0,3.271,0.0,0.0,0.0,
1002,2026-07-01,11069,571,300467.53,0,0.0,861,501355.0,1845.0,499510.0,1.662,0.0,0.0,0.0,
1052,2026-07-01,15203,420,276171.7,0,0.0,559,431105.0,5145.0,425960.0,1.542,0.0,0.0,0.0,
303,2026-07-01,11018,7212,39517.6,0,0.0,137,38905.0,130.0,38775.0,0.981,0.0,0.0,0.0,
413,2026-07-01,33077,24873,467819.12,0,0.0,1297,791500.0,3580.0,787920.0,1.684,0.0,0.0,0.0,
427,2026-07-01,34319,26213,482329.04,0,0.0,1461,918360.0,3890.0,914470.0,1.896,0.0,0.0,0.0,
523,2026-07-01,79347,25879,76004.88,0,0.0,362,197270.0,0.0,197270.0,2.595,0.0,0.0,0.0,
612,2026-07-01,4973,120,53593.76,0,0.0,153,40075.0,3410.0,36665.0,0.684,0.0,0.0,0.0,
719,2026-07-01,11641,8220,180706.5,0,0.0,373,249295.0,765.0,248530.0,1.375,0.0,0.0,0.0,
730,2026-07-01,9482,6744,76965.18,0,0.0,300,122150.0,510.0,121640.0,1.58,0.0,0.0,0.0,
833,2026-07-01,104692,31466,223524.25,0,0.0,1120,455415.0,1805.0,453610.0,2.029,0.0,0.0,0.0,
851,2026-07-01,1796,419,1152.18,0,0.0,11,1130.0,0.0,1130.0,0.981,0.0,0.0,0.0,
889,2026-07-01,10773,144,42885.96,0,0.0,194,58320.0,315.0,58005.0,1.353,0.0,0.0,0.0,
897,2026-07-01,23819,14377,243567.52,0,0.0,854,313145.0,955.0,312190.0,1.282,0.0,0.0,0.0,
911,2026-07-01,3663,736,1321.34,0,0.0,4,590.0,0.0,590.0,0.447,0.0,0.0,0.0,
organic,2026-07-01,128732,0,0.0,0,0.0,2172,1938820.0,6905.0,1931915.0,,0.0,0.0,0.0,
ppc,2026-07-01,382194,373167,2334625.11,0,0.0,7131,3480255.0,11570.0,3468685.0,1.486,0.0,0.0,0.0,
